Category,Item Number,Food Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),Sodium (mg),Fibre (g)
Carbohydrate Sources,29,Pita bread (white),270,9.4,49.2,3.6,520,2.2
Carbohydrate Sources,30,Rye bread (sliced),254,12.3,43.1,3.5,600,5.8
Carbohydrate Sources,31,Corn tortillas (as purchased),218,5.7,44.6,2.5,160,6
Carbohydrate Sources,32,Oat flour (dry),376,12,62,6.5,2,6.5
Carbohydrate Sources,33,Semolina flour (dry),356,11.7,73.8,1.6,1,3.9
Carbohydrate Sources,34,Chickpeas (dry),329,22,48,2,24,17
Carbohydrate Sources,35,"Chickpeas (canned, drained & rinsed)",96,4.7,15,0.6,240,6.4
Carbohydrate Sources,36,Lentils (dry),352,25.8,60.1,1.1,6,30.5
Carbohydrate Sources,37,Cannellini beans (dry),325,23,46,1.6,16,15.2
Carbohydrate Sources,38,"Cannellini beans (canned, drained & rinsed)",96,6.6,12.8,0.6,250,6.3
Carbohydrate Sources,39,"Red kidney beans (canned, drained & rinsed)",127,7.8,21,1.3,220,6.4
Carbohydrate Sources,40,"Green peas (canned, drained & rinsed)",80,4.7,12.7,1.1,240,4.1
Carbohydrate Sources,41,Chestnut flour (dry),385,5.3,80.5,4.6,12,11
Fats and Oils,1,Olive oil,900,0,0,100,2,0
Fats and Oils,2,Avocado (flesh),238,4.4,1.8,23,7,6.7
Fats and Oils,3,Peanut butter (natural),631,24,22.7,49.4,17,6
Fats and Oils,4,Almond butter (natural),666,27,7.4,57,4,10
Fats and Oils,5,Mixed nuts (unsalted),655,17.2,8.6,59.5,5,7
Fats and Oils,6,Dark chocolate 70%,566,9.5,35,41,12,11
Fats and Oils,7,Rapeseed (canola) oil,828,0,0,92,0,0
Fats and Oils,8,Sunflower oil,884,0,0,100,0,0
Fats and Oils,9,Avocado oil,828,0,0,92,0,0
Fats and Oils,10,"Butter, unsalted",745,0.9,0.1,81,11,0
Fats and Oils,11,Ghee (clarified butter),900,0,0,100,2,0
Fats and Oils,12,Lard,902,0,0,100,0,0
Fats and Oils,13,Duck fat,900,0,0,100,0,0
Fats and Oils,14,Coconut oil,900,0,0,100,0,0
Fats and Oils,15,Tahini (sesame paste),595,17,21,54,35,9.3
Fats and Oils,16,Sesame seeds,573,17.7,23.5,49.7,11,11.8
Fats and Oils,17,Chia seeds,445,21,4.9,31,16,34
Fats and Oils,18,Ground flaxseed (linseed),604,21,11,51,7,27
